Title,Location,Company,Posting,Salary,Description,Salary_Low,Salary_High,Unit,Currency
Procurement RM Officer,Sumatera Utara,PT Unilever Oleochemical Indonesia,21 hari yang lalu,,"Job Description :
Manage operation of RM: Coordinate with planner for demand, negotiate price, place PO on SAP, monitor incoming, ensure OTIF 100%, vendor registration and solve payment issue (if any), create contract (for required material)
Drive F4G saving: Source alternative supplier & do trial for new supplier
Ensure supplier pass RSP/SMETA Audit
Manage customer complaint

Qualifications :
Willing to be placed at Special Economic Zone, SEI MANGKEI, SIMALUNGUN, North Sumatera
Bachelor degree with good versed in English
Proven work experience for at least 2 years in procurement
Hands-on experience create contract terms of agreement, presentation to stakeholder, tender process
Good knowledge of vendor sourcing practices (researching, evaluating, and liaising with vendors)
Hands-on experience with purchasing software: SAP, etc
Understanding of supply chain procedures
Solid analytical and negotiation skills",,,,
Quality Management Representative,Sumatera Utara,"PT Mark Dynamics Indonesia, Tbk",9 hari yang lalu,,"QMR Specialist
Location: Tanjung Morawa, Deli Serdang, Medan - Sumatera Utara

Our company is a manufacturer which is located in North Sumatera. Our company needs the best candidate to Quality Management Representative
Responsibilities:
Handle company certification focusing on management system.
Facilitate the employee understanding regarding management system.
Oversee and make sure the application of management system in operational process. 
Handle all documentation regarding management system
Document and follow up customer complaint

Requirements:
Bachelor from any background.
Proven minimum 3 years' experience on related area (QMR, management system), with minimal 2 years as Supervisor.
English and computer literate.
Excellence understanding on ISO and other management system. 
Great analytical thinking and attention to detail.
Work well independent and able to manage team. 
Work location in Tanjung Morawa, Deli Serdang, Medan. ",,,,
Field Trainer - Medan,Medan,ISMAYA GROUP,21 hari yang lalu,,"Conduct end to end training program given by Superiors.
Work with Training Lead and L&D Team to work match on timeline.
Collaborate with Learning Content Specialist and department heads to determine training priorities and objectives.
Ensure training content is relevant, engaging, and up-to-date.
Travel to various sites to conduct on-site training sessions, workshops, and seminars.
Utilize various instructional techniques and formats, such as hands-on training, simulations, role-playing, and group discussions.
Engage and motivate participants to ensure a positive learning experience.
Collect and analyze feedback from participants to make continuous improvements.
Provide on-site coaching and support to employees to reinforce training and ensure skill application. • Address any training-related issues or concerns promptly and effectively.
Maintain accurate records of training activities, participant progress, and certification status. • Ensure compliance with industry standards and regulatory requirements.
Stay current with trends and best practices in training and development.
Create and collect report form from each handled training and analyze with L&D Content Specialist.
Create Regular Report to Training Manager.",,,,
Billing Management-Invoicing & Tax (Medan),Medan,IDS Medical Systems Group,26 hari yang lalu,,"Job descriptions
Create invoices for all customer orders and manage billing for returned orders.
Input and report sales tax to Coretax.
Prepare all supporting billing documents for handover to the collection team.
Follow up with customers to resolve any billing issues related to invoices, output tax, and required documentation.
Ensure the smooth and complete netting of invoices and taxes.
Coordinate and report all billing management transactions to headquarters.
Job requirements
Bachelor's degree in Finance, Accounting, Management, Taxation, or Business.
Minimum of 1 year of professional experience in a related field.
Detail-oriented is a must.
Goal and target-oriented.
Proficient in Ms. Excel.
Leadership skills.
Communication and negotiation skills.",,,,
Chemist,Deli Serdang,PT. Pacific Palmindo Industri,15 hari yang lalu,,"Job Description
Prepare Quality Manual for the Quality, Food Safety, Environmental Management System, and General Procedure related with system.
Ensure that processes needed for the system are established, implemented, maintained and updated.
Reporting to top management on the performance of the system and any need for improvement.
Ensure the promotion of awareness of customer requirements throughout the organization.
Liaison with the external parties on matters relating to the quality management system.
Prepare and conduct Internal Quality Audit for ISO, HACCP, Halal, RSPO system
To help and support all department if get difficulties relating with ISO, HACCP, Halal, RSPO system.
Control and monitoring environment system in the company.

Job Qualification
Min education: diploma or bachelor's degree in chemistry or any relevant background
Welcome for Fresh Graduate.
Operating computer’s system, such as: Word & Excel Program.
Understand English minimum passive.
Have knowledge about ISO System, Halal, HACCP, SMK3 and RSPO.
Willing to work in Deli Serdang, Sumatera Utara.
Willing to work as PKWT in the first-year join.
Willing to work in Shift Schedule.
Willing to work with shift system (24 hour)

Benefit
BPJS Ketenagakerjaan
BPJS Kesehatan
Mandiri Inhealth
Employee Bus
Meals
Bonus KPI
THR",,,,
PRODUCTION SUPERINTENDENT,Sumatera Utara,PT. Pacific Medan Industri,11 hari yang lalu,,"To organize all resources delegated to him in order to produce product as per specification and plan.
To prepare clear procedures and work instruction for all personnel to perform their own responsibility.
To control implementation of production plan.
To analyze all supervisor's report, and plan for necessary action for improvement.
To prepare and analyze annual budget, and take necessary action to use budget as efficient as possible.
To analyze the causes of non-conformity product and take necessary preventive or corrective action.
To brief and develop supervisor and assistant production supervisor capacity in order to meet expected performance.
To evaluate personnel performance and identify training needs for improvement.
To coordinate with other related department (HR, Planning and Material, Quality Control, Maintenance) with regards related issues in order to ensure that the operation will run smoothly.
To act on behalf of company at any problem areas, in order to build employee's motivation, loyalty and etc.
To monitor, ensure, and control safety awareness, cleanliness is implemented.
To prepare ISO & HACCP document, ensure system are implemented.
To report problems with the food safety management system
To analyze transaction material in SAP System and to make sure closing all SAP report each month.",,,,
CUSTOMER SERVICE- Coordinator,Semarang,Sherwin-Williams Services (Malaysia) Sdn Bhd,23 hari yang lalu,"Rp 7,000,000 – Rp 10,000,000 per month","Roles and Responsibilities
Work closely with internal department and provide service support to customers and stockist
Assist Management to retain / attract new customers and ensure that sales / stockist achieve their budgeted sales / profit targets set.
To ensure the following are done (local sales)
Documents / records are properly updated and filed (invoices, DN, CN, Sales Tax (CJ5 & exemption), quotation, complaint report, field report, customer configuration report, and correspondence).
No over stocking of finished goods (FG) especially for special colors / product to minimize dead stock by coordinating with Product Planner
Monitoring of FG inventory to ensure sufficient supply of goods to customer at all times before replenishment by liasing with customers / stockists and our Product Planner
Reduce repetition of FG request to production for the same product & liasing with Product Planner
Knowledge of any discontinuation of FG due to end of project,info to be passed on to related department for further actions
Monitoring of all deliveries to customers on time by liasing with Logistics & Production
Monitoring of any complaint login and follow ups
Assist in marketing strategy like exhibitions,trade fairs,technical sales, seminars,visiting customers / stockist etc..
New customers,ensure credit and repayment terms are set and Credit Application Form daily filed and approved before filing
Strict monitoring of Debtors control to ensure all credit and repayment terms are adhered
Reminders are duly sent out and legal actions taken against bad defaulters
Collections are closely monitored to achieve monthly projected collections
To achieve departmental and company level KPI at all times
Product rationalization info is duly passed to sales coordinators / Product Planner on affected finished goods
Ensure all procedures comply with existing ISO standards and records updated

Requirements
Education: SMA & above
At least more than 2 years of related Customer Service or in Marketing
Computer literate and interpersonal communication",7000000.0,10000000.0,month,IDR
Contact Center WFM,Semarang,PT Transcosmos Indonesia,12 hari yang lalu,Rp 6.800.000 – Rp 7.500.000 per month,"PT Transcosmos Indonesia, a joint venture between Transcosmos Inc. and CBN (a member of the Salim Group), is a Global Digital Transformation Partner in Customer Experience Solutions and Digital Marketing Solutions.

Why Join Us?

Our goal is to foster a culture of excellence while shaping a thriving company. We provide a competitive compensation package and ample opportunities for career growth. We believe in giving every employee a fair chance to contribute to our success and to unlock their full potential.

Job Description

This is an on-site contract role as a Contact Center WFM located in Semarang. As a WFM you will be responsible for :
Conducts workforce forecasting and capacity planning using historical data or patterns to ensure adequate staffing levels to meet service demands
Prepare rosters and schedules based on volume forecasts, agent availability and client recommendations
Monitor real-time volume, schedule adherence and service level changes to identify potential issues or discrepancies
Make immediate adjustment to address operational issue such as volume spikes, high AHT, staffing adjustment and downtime promptly to maintain operational efficiency
Communicate non-compliance issues to operations, management and client
Prepare regular reports to provide insights into workforce efficiency, productivity and service quality from time-to-time
Collaborates with clients and stakeholders to understand their requirements and expectations
Reflect a good understanding of client’s needs to ensure business solutions are aligned
Implement workforce management best practices, tools and technologies to enhance the capabilities
Provide training, guidance and support to operation team on workforce management processes or techniques
Utilizes data-driven insights to drive continuous forecasting refinement to improve forecast accuracy and optimize staffing decision
Demonstrates expertise in workforce planning, scheduling and capacity management to optimize resource utilization

Job Requirements

Indonesian citizen with minimum diploma degree in any related field with GPA min 2.75 preferred
Experienced as WFM in contact center industry
Proficient in using reporting tools and software, such as Excel and erlang to generate and analyze performance reports
Proficient problem-solving abilities to identify root causes and to identify the decision making possibilities
Ready to work on shifting
Good in English both speaking and writing
Willing to work immediately
Willing to be placed in Semarang

Note : The job description has been gender-neutral and does not discriminate on the basis of gender, race, ethnicity, religion, or any other characteristic.

Life At TCID

With our commitment to ensuring employee comfort at TCID, here are some of the benefits we offer:
Fulfilling Career
Professional Growth
Work-Life Balance (Variety of Sports Activities, Wellness Programs, etc.)
Growing Culture

#transcosmosIndonesia #LifeAtTCID #OneTranscosmos #TCID",6800000.0,7500000.0,month,IDR
Regional Sales Manager (Jawa Tengah),Semarang,ASIA PULP AND PAPER,1 hari yang lalu,,"Job Responsibilities:
Develop sales strategies to achieve company's target and maximize distribution of product lines through complex distribution channels and possess the ability to analyze problems within the distribution channel.
Builds and maintains strong relationships with trade leaders and distributors, in order to create positive impact and change to company image and business goals.
Work closely with distributor on coverage area to do sales and distribution plan and implementation
Analyze regional and sales performance data and identifies areas for improvement .
Analyze changing customer needs and market trends, understands how they affect the current and future business, and responds proactively to secure long term business performance.
Work closely with trade marketing to ensure strategic and tactical consistency; promotion effectiveness & efficiency
Set clear performance standards and expectation based on business strategy and goals to ASMs and distributors.
Requirements:
Candidate must possess at least a Bachelor's Degree, in any field
At least 10 year(s) of working experiences in FMCG, with 5 year(s) as Senior Sales Manager
Applicants must willing to travel
Deep understanding of operational sales & distribution all channel in Central Java
Good communication, data analysis, & reporting
Able to manage large team member
High achiever, target oriented",,,,
Sales Executive,Semarang,PT Quadra Dinamika Internasional,10 jam yang lalu,Rp 13.500.000 – Rp 20.000.000 per month,"Quadra is a leading manufacturer of extra-large sintered stone slabs, providing innovative and sophisticated designs to elevate any space. As a rapidly growing company, we are dedicated to expanding our influence and collaborating with industry partners to bring ultimate luxury and craftsmanship to our customers.
We are now seeking talented individuals to join our team and contribute to our mission of celebrating the art of life through exceptional design.

Responsibilities:
You will be responsible for driving sales by introducing and promoting our products to a diverse customer base (both local and export customer). This includes actively developing and maintaining strong client relationships, processing orders with precision, and ensuring timely delivery. A crucial part of this role is achieving and exceeding sales targets, while also managing customer complaints and possessing a deep understanding of building materials.

Requirements:
Bachelor's degree in Business, Management, Communication or a related field. A background in Architecture or Interior Design is a significant advantage.
Has experience in the Furniture & Kitchen field is a plus point
Proven experience in B2B and B2C sales within project-based or retail environments.
Ability to interpret technical drawings and effectively present product solutions to clients will be plus point.
Willing to be based in Semarang, applicant outside semarang are welcome and will be provided relocation allowance.

Benefits :
Offers a fast career path based on performance and experience gained
Competitive salary + commission based on sales performance
Product training and continuous sales coaching
Monthly transport allowance for client visits
Operational Car will be Provide by Company

*All the benefit and salary subject to depends on skill and related experiences",13500000.0,20000000.0,month,IDR
Programmer CNC Milling,Semarang Tengah,PT Tri Sinar Purnama,21 hari yang lalu,,"About the role

PT Tri Sinar Purnama is seeking a talented Programmer CNC Milling to join our dynamic team in Semarang, Central Java. As a full-time Programmer CNC Milling, you will play a crucial role in driving our manufacturing capabilities forward and contributing to the overall success of the company.

What you'll be doing
Programming and operating CNC milling machines to manufacture high-quality parts and components
Interpreting technical drawings, diagrams, and specifications to develop efficient machining programs
Setting up and adjusting CNC milling machines to ensure optimal performance and precision
Monitoring machine operations, troubleshooting any issues, and performing routine maintenance
Collaborating with the production team to identify opportunities for process improvements
Maintaining accurate records and documentation related to the machining process
Adhering to all health, safety, and environmental regulations

What we're looking for
Extensive experience (3+ years) in CNC milling programming and operation
Proficiency in reading and interpreting technical drawings and blueprints
Strong understanding of CNC machine programming, tooling, and setup
Proficiency in CAD, preferably AutoCAD software
Proficiency in CAM, preferably Mastercam software
Ability to troubleshoot and resolve mechanical and technical issues
Excellent attention to detail and a commitment to quality
Adaptability to work in a fast-paced, dynamic manufacturing environment
Effective communication and problem-solving skills
Relevant technical certifications or qualifications in CNC machining

About us

PT Tri Sinar Purnama is a leading manufacturer of high-quality industrial components and parts. With a focus on innovation, efficiency, and customer satisfaction, we have established ourselves as a trusted partner in the Trades & Services industry. Our state-of-the-art facilities, skilled workforce, and commitment to excellence have enabled us to consistently deliver exceptional products and services to our clients.
Apply now to join our talented team and be a part of our continued success!",,,,
Inventory Specialist,Semarang,PT Oceanco Semarang,9 hari yang lalu,,"We are looking for inventory specialists who bring unwavering professionalism and meticulous accuracy to the position, and who have exceptional math and observation skills. Inventory specialists can expect to work closely with management, oversee multiple teams, develop and improve existing procedures and policies, prevent losses, and occasionally do some heavy lifting. Their other responsibilities include maintaining storage facilities, ensuring the accuracy of inventory records, compiling balance, price and cost reports, and doing weekly counts of all products.
Successful inventory specialists should have excellent interpersonal communication skills, a firm grasp of basic computer programs, and an ability to work both independently and in a team. Ideal candidates will have inventory experience as well as mid-level management experience.
Inventory Specialist Responsibilities:
Tracking inventory maintenance.
Controlling flows of equipment and supplies.
Reporting to management and advising on process improvements.
Coordinating and directing multiple teams.
Developing loss mitigation processes and protocols.
Training less experienced inventory workers.
Compiling inventory reports.
Addressing any problems, obstacles or challenges.
Forecasting future inventory requirements.
Inventory Specialist Requirements:
Bachelor Degree or min D3
Minimum of 3 years' experience in the field.
Excellent organizational and time-management skills.
Working knowledge of word processor, database and spreadsheet software.

PT. Oceanco, based in Semarang, Indonesia, is growing company that specializes in yachts and furniture products. We develop and produce quality marine and furniture products for International market with regular high end market in Europe, US, and Australia.",,,,
ASSISTANT AREA MANAGER,Semarang,PT Ayu Agung,1 hari yang lalu,,"Assistant Area Manager (Semarang)
Roles and Responsibilities:
* Beauty (Make-up & Skin Care) Enthusiast
* Assisting Area Manager in her/his area.
* Drive Top Line Sales & KPI Metrics for her/his area.
* Operational Cost Efficiency (Utilities, Overtime, Administrative).
* Accountable for Inventory in bound and out bound of stores and maintain Inventory accuracy VS System.
* To be accountable for stores to deliver Best Customers Experience.
* To deliver and execute Training and Coaching regulary to improve and develop talents/potentials in her/his area.
* Responsible of the sales teams & offline channels in his/her area. 
* Managing and maintaining a positive working relationship with the Head Office.
* Maintain sales team for positive working attitude and environment.
* Executing brand strategies collaborating closely with Head Office.
* Collaborating closely with HO Marketing Team in order for stores present as per guidelines (Brands).
* Executing marketing activities for her/his area needed for brand awareness and achieve sales target in his/her area.
* To be able to provide data of market, events, market behavior analysis in his/her area.
* To be accountable for inventory fulfillment by communicating closely with Head Office.
* To make sure day to day operations tasks are executed regularly and consistently.
* Responsible all flow of working and process in ops are executed based on guideline and well communicated in his/her area.
Requirements:
* Candidate must possess at least a bachelor’s degree in any field.
* Good in verbal and written communication (English and Bahasa), good command of written and spoken English.
* Ability to multitask and prioritize daily workload
* Willing to learn & ability to work under pressure.
* Self-starter, problem solving, and strong attention to details.
* Excellent team player.
* Strong in Interpersonal and presentation skills.
* Able to work in weekends & flexible hours.
* Willing to travel across Indonesia.",,,,
Assistant Manager -Factory Sales (Textile/Garment/Apparel),Semarang,PT Avery Dennison,6 hari yang lalu,,"YOUR RESPONSIBILITIES WILL INCLUDE:
Responsible for increasing revenue by achieving sales objectives in existing and new accounts.
Create and manage territory and account strategies to deliver on price and mix objectives.
Provide product recommendations, samples, technical support, pricing and service information on demand.
Provide product quotes and actively utilize value-selling tools and skills.
Uncover and assess customer needs and develop and execute Value Proposition (Aligning Value).
Demonstrate products and/or services and provide assistance in the best application of product and/or services.
Proactively identify new accounts using screening techniques, referrals, and prospecting to potential customers within territory.
Develop a thorough understanding of market conditions (e.g., current customers, potential customers, competitors) in assigned territory, and develop a strategy to achieve revenue goals.
Conduct territory analysis and planning to enable appropriate allocation of time to accounts and customers.
Responsible for securing and maintaining distribution of products and/or services and maintaining effective agreements.
Use account management skills to plan and execute customer marketing/growth programs for customers.
Creatively develop new applications for product lines.
Channel or Key Accounts Specific:  Responsible for selling to a designated channel. May identify new opportunities within the channel for potential business. Also responsible for needs analysis, development, negotiation, sale, delivery, and post-sale services to a group of clients. 
Participate in territory planning, customer planning and territory reviews.  Develop and present SWOT analysis and make recommendations on products and growth opportunities.
Maintain customer profiles and supply agreements.  
Establish pricing programs and strategies. 
Secure optimum product positioning within target accounts.
Provide exceptional customer experience for business partners and prospects to develop long-term business opportunities.
Navigate complex problems and structures to determine the best solutions for customer needs.
Collaborate with other business units to evaluate volume, identify trends, ensure quality, and monitor budgets.
Ensure all tasks are performed with a strong commitment to Safety and the implementation of 5S practices.
Qualifications
Bachelor’s degree 
Min 5 years successful sales experience, experience at apparel and footwear manufacturers  and market preferred;
Willing to work in any area of sales.
Proficient in assessing customer needs.
Good negotiation skills/experience.
Good financial skills and business acumen.
Knowledge of conducting territory analysis and planning.
Ability to work independently with little supervision.
Good understanding of how to manage territory business.
Skilled in communicating effectively with all levels of management on complex business issues.
Good understanding of how to prepare professional written proposals. 
Skilled in calculating figures and amounts such as discounts, invoice totals, percentages, bonuses, etc.
Good understanding of product and technical information.
Excellent customer service skills.
Excellent oral, written and presentation skills.
Understanding of applicable computer systems, such as Microsoft Office and Google.                                                                                                                                                    
Ability to work as part of a team.
Good in English",,,,
Contact Center Supporting Staff,Semarang,PT Transcosmos Indonesia,1 hari yang lalu,Rp 5.300.000 – Rp 7.200.000 per month,"Transcosmos Indonesia is a joint-venture company offering contact center services, social media management, voice of customer analysis, digital marketing, and eCommerce solutions. This world class business process outsourcing and consulting company is supported by the strength of global transcosmos network with over 50 years of experience. With a focus on adapting to the changing business environment, transcosmos tailors their services to meet each client's unique requirements.

Role Description :
This is an on-site contract role as a Trainer, Team Leader, Quality Assurance, WFM, Supervisor located in Semarang. As Contact Center Supporting Staff you will be responsible for :
Supporting the operations to achieve the goals related the KPI metrics
Help the agents to work based on SOP metrics
Provide individual coaching and mentoring to team members to support their professional growth and career development
Gather feedback from quality team to understand the knowledge gaps and incorporate findings into training programs
Ensure smooth transition of nesting phase and production floor
Ensure the CSAT, DSAT, and Client Satisfaction are achieve the target

Qualifications :
Having full working rights in Indonesia with minimum bachelor degree in any related field with GPA min 2.75 preferred
Experienced as Supporting Staff in contact centre industry
Able to articulate findings, recommendations and feedback effectively, ensuring clarity and mutual understanding among teams
Able to develop an innovative training methods while ensuring logical content flow
Ready to work on shifting
Fluent in English both speaking and writing min B2 Level of CEFR
Willing to be placed in Semarang
Note : The job description has been gender-neutral and does not discriminate on the basis of gender, race, ethnicity, religion, or any other characteristic. This hiring process is free of charge.

Life At TCID

With our commitment to ensuring employee comfort at TCID, here are some of the benefits we offer:
Fulfilling Career
Professional Growth
Work-Life Balance (Variety of Sports Activities, Wellness Programs, etc.)
Growing Culture
#transcosmosIndonesia #LifeAtTCID #OneTranscosmos #TCID",5300000.0,7200000.0,month,IDR
Sales & Marketing Supervisor,Semarang,PT. CIL LOGISTICS INDONESIA,19 hari yang lalu,,"Job Description:
Assist in developing and executing sales and marketing strategies to achieve business goals.
Supervise and support the sales team in reaching sales targets and build good relationships with customers.
Contribute to business development by identifying potential clients and maintaining a strong market presence.
Coordinate with internal teams to ensure smooth operations and effective collaboration.
Track and report on market trends, competitor activities, and customer insights to optimize strategies.
Address customer inquiries and assist in resolving issues to ensure satisfaction and maintain relationships.
Requirement:
Diploma degree in any major, with minimum 3 years’ experience in a freight forwarding company (handling international ocean freight or air freight), and familiar with export-import procedures as well as industry terms (FOB, CIF, DDP, etc).
Strong understanding of B2B sales, with proven ability to identify opportunities and achieve sales targets.
Skilled in preparing quotations and ensuring effective coordination with clients and internal teams.
Fluent in English or Mandarin, both written and spoken.
Strong communication, negotiation, and problem-solving skills, with the ability to perform well in a fast-paced, dynamic environment.
Proficient in office software applications, adaptable, and willing to work in Semarang/Surabaya (Head Office: China).
CV/Resume other than in English or Mandarin will not be considered.
Only shortlisted candidates will be contacted.",,,,
SUPERVISOR – QUALITY,Semarang,PT Prym Intimates Indonesia,2 hari yang lalu,,"Requirements:
Bachelor’s Degree in Chemical or Industrial Engineering, Management, or relevant field. 
Minimum of 2 years of experience in a similar role within a manufacturing environment (Garment or Textile manufacturing).
Familiar with color assessment and testing performance standards & manuals.
Strong understanding of business operations, with excellent analytical and communication skills.
Must be fluent in English, both written and spoken.
 Key Responsibilities:
Update all color comments and testing results in the system promptly.
Prepare testing reports for delivery, ensuring readiness of hard copies and sending soft copies via email.
Ensure all tests are conducted according to the correct procedures.
Ensure that the material inspection process is conducted in accordance with the established standards.
Ensure the smooth and timely movement of raw materials in line with the requirements of the subsequent process.
Responsible to the receiving material quality to ensure that incoming material is in accordance with the standard.
Maintain laboratory conditions to meet standard requirements, especially temperature and relative humidity in the Conditioning Room.
Monitor and maintain stock levels of chemicals and consumables.
Coordinate with various departments (dye house, warehouse, planning, sourcing, HR, etc.) to ensure quality and quantity outputs meet the required standards and to resolve any team-related issues efficiently.
Allocate resources (manpower, testing machines, tools, etc.) to balance workloads and meet customer requirements.
Experienced in Color Assessment and decision making related to Color Standard on Color Approval.",,,,
"Supervisor, Project Sales (Semarang)",Semarang,PT TOA Coating Indonesia,2 hari yang lalu,Rp 5.000.000 – Rp 7.000.000 per month,"About the role

PT TOA Coating Indonesia is seeking an experienced Project Sales Supervisor to join our growing team in the Semarang area. As a Project Sales Supervisor, you will play a crucial role in driving sales and managing key projects for our leading consumer products brand. This is a full-time position based in Jakarta, with opportunities for career progression within the company.
     Job Description :
Creating and maintaining sales goals as well as forecasting future sales trends
Assist Preparation marketing program base on stock in the warehouse
Conducting market research to identify potential clients and determine their needs
Resolving customer service issues by communicating with clients to explain product features and benefits and answering any questions about products or services
Coordinate deliveries of materials based company policies and customer demands.
Monitor and track the status of products shipped inform customers about their shipping status and delays if any.
Ensure costumer satisfaction, including costumer complain
Control Collection from the Customer
Build up relationship with Distributor, Applicators, Contractors and Developers to create brand awareness among project market.
Preparation of project files, database, and coordination with technical to checking and handle complain and material
Support and maintain implementation ISO 9001:2015 and ISO 14001:2015 related respective working area
Compliance with quality standards and health, safety and environmental regulation

Job Requirement :
Education minimum Diploma or Bachelor Degree
Experience : 3+ Years in Sales
Proven experience as project sales supervisor, minimum 2 years of professional experience at this level with successful track record in related industry.
Knowledge and experience of the project channel commercial approach, trends, processes and procedures.
Have experience in Building material or paint industrial is a must",5000000.0,7000000.0,month,IDR
"Mandarin Speaker (GA, Finance, Purchasing, HR, Admin)",Kendal,PT. BTR INDONESIA,19 hari yang lalu,Rp 10.000.000 – Rp 14.000.000 per month,"There are some mandarin speaker positions that we currently open: GA staff, Finance Staff, Purchasing Staff, HR Staff, and Administration Staff, qualification:
Minimum education: S1 in any major. Relevant Mandarin Translation, Linguistics certifications or a related field or equivalent experience will also be considered;
Work confidence, good at grasping the details of the work, good at finding and analyzing problems;
Have a strong sense of pioneering and innovative, flexible adaptability;
Cheerful personality, good teamwork spirit and communication;
Proficiency in operating Microsoft office;
Fresh Graduates are welcome to apply.",10000000.0,14000000.0,month,IDR
Agent Contact Center Mandarin Speaker - Semarang Site,Semarang,PT Transcosmos Indonesia,14 hari yang lalu,Rp 8.000.000 – Rp 9.000.000 per month,"Job description
Handling customer's complain and give information.
Make reports on customer complaints and follow-up actions to solve the problem.

Requirements
Indonesian citizen with Minimum Diploma in any related field with GPA min 2.75 preferred
Prefer having customer service or similar related working experience, but Fresh Graduate are welcome to apply
Proficient in Mandarin at HSK 3 level
Able to communicate effectively to all internal and external customers through written and verbal communication
Proficiency in using basic office software, including Word/Excel/PowerPoint
Ready to work on shifting
Willing to be placed in Semarang",8000000.0,9000000.0,month,IDR
Branch Manager (Aesthetic Clinic) - The Park Mall Semarang,Semarang,EUROMEDICA GROUP,6 hari yang lalu,,"Qualification:
Candidate must possess at least a Bachelor's Degree in any field.
At least 5 Year of working experiences as Manager in Aesthetic / Gym Industry.
Good understanding of Aesthetic, Sales, market analysis, and concept.
Good Communication, negotiation, managerial, and leadership skill.
Preferably Manager/Assistant Manager specialized in Beauty, Clinic / Fitness.
Good networking and sales oriented.
Job Description:
Direct all operational aspects including distribution operations, administration and sales.
Assess local market conditions and identify current and prospective sales opportunities to achieve sales target.
Meet goals and metrics.
Bring out the best of branch’s personnel by providing training, coaching, development, and motivation.
Network to improve the presence and reputation of the branch and company.",,,,
Kolektor Lapangan,Semarang,"PT. BFI FINANCE INDONESIA, Tbk",30+ hari yang lalu,,"Description
• Bertugas melakukan kunjungan, penagihan, dan negosiasi kepada konsumen yang memiliki keterlambatan 1-90 hari
• Membuat report progres harian
Job Requirement
• Bukan Konsumen PT BFI Finance Indonesia Tbk
• Pendidikan minimal SMA wajib berpengalaman sebagai Security atau Kolektor Lapangan
• Menyukai Pekerjaan Lapangan
• Memiliki SIM C dan Kendaraan Pribadi
• Domisili di Semarang Kota atau sekitarnya
• Bersedia ditempatkan di Cabang MT Haryono atau Kedungmundu
Benefit
• Gaji pokok diatas UMR
• Jenjang karir
• Insentif
Walk in interview pada
• Hari: Kamis – Jumat, 24-25 Juli 2025 dan Selasa – Rabu, 29 – 30 Juli 2025
• Jam: 09.30 – 14.00 WIB
• Lokasi: Kantor BFI Cabang Semarang 1, Ruko Mataram Plaza, Jl. Letnan Jl. MT. Haryono No.3 Blok D, Jagalan, Semarang Tengah, Kota Semarang, Jawa Tengah 50136
""Pihak HiredToday.com dan Perusahaan tidak akan meminta biaya dalam bentuk apapun pada saat melakukan proses recruitment. Mohon segera melaporkan kepada kami, apabila Anda jika pada saat diundang untuk interview dan diminta untuk melakukan pembayaran dengan sejumlah uang.""
""HiredToday.com and the Company will not ask for any form of payment during the recruitment process. Please report to us immediately, if you are invited for an interview and asked to make a payment with a sum of money.""",,,,
Relationship Manager - Taiwanese Business (Semarang),Semarang,PT Bank CTBC Indonesia,15 hari yang lalu,,"Qualifications:
Minimum 4 years or above Banking experience in Commercial (preferable)/Corporate Banking or related industry
Bachelor Degree in Business, Finance, Marketing or other relevant discipline
English proficiency in listening, writing and speaking
Mandarin proficiency in listening, writing and speaking would be an advantage
Have good networking/active customer database (preferable)
Have in-depth knowledge of the Bank products and services such as lending, funding, trade finance and forex would be an advantage
Roles & Responsibilities:
Explore opportunities on new client in order to achieve Bank’s target through Bank producsts, credit facilities and any bank services depending on clients’ needs
Prepare credit memo and presentation (if needed) and monitor approval process
Maintain good relationship with customers by providing clear and correct information regarding Bank’s services and products toward customer’s needs
Ensure the safety and security of both Customer and the Bank’s assets by applying and complying with established policy, procedure and all regulatory requirements",,,,
Marketing Dana Tunai Express Produk Motor,Semarang,"PT. BFI FINANCE INDONESIA, Tbk",30+ hari yang lalu,,"Description
• Mencari dan merekrut BA (Business Agent) atau mediator untuk menawarkan produk pembiayaan konsumtif/produktif di BFI Finance dengan jaminan BPKB roda 2
Job Requirement
• Bukan Konsumen PT BFI Finance Indonesia Tbk
• Pendidikan minimal SMA wajib berpengalaman sebagai Sales atau
• Marketing minimal 1 tahun
• Menyukai Pekerjaan Lapangan
• Memiliki SIM C dan Kendaraan Pribadi
• Domisili di Semarang Kota atau sekitarnya
• Bersedia ditempatkan di Cabang MT Haryono atau Kedungmundu
Benefit
• Gaji pokok diatas UMR
• Jenjang karir
• Insentif
Walk in interview pada
• Hari: Kamis – Jumat, 24-25 Juli 2025 dan Selasa – Rabu, 29 – 30 Juli 2025
• Jam: 09.30 – 14.00 WIB
• Lokasi: Kantor BFI Cabang Semarang 1, Ruko Mataram Plaza, Jl. Letnan Jl. MT. Haryono No.3 Blok D, Jagalan, Semarang Tengah, Kota Semarang, Jawa Tengah 50136
""Pihak HiredToday.com dan Perusahaan tidak akan meminta biaya dalam bentuk apapun pada saat melakukan proses recruitment. Mohon segera melaporkan kepada kami, apabila Anda jika pada saat diundang untuk interview dan diminta untuk melakukan pembayaran dengan sejumlah uang.""
""HiredToday.com and the Company will not ask for any form of payment during the recruitment process. Please report to us immediately, if you are invited for an interview and asked to make a payment with a sum of money.""",,,,
