Title,Location,Company,Posting,Salary
Sales Supervisor (JABODETABEK),Jakarta Raya,PT Sumber Kosmetika Indah,1 hari yang lalu,N/A
GA Staff - Trading (C-123164),Jakarta Raya,RGF HR Agent Indonesia,1 hari yang lalu,Rp 5.000.000 – Rp 6.000.000 per month
Staff Sales Admin,Jakarta Pusat,PT Trafoindo Prima Perkasa,7 hari yang lalu,N/A
Presales Engineer,Jakarta Raya,PT JAC Consulting Indonesia,3 jam yang lalu,Rp 8.000.000 – Rp 12.000.000 per month
English Teacher,Jakarta Raya,PT UPI,2 hari yang lalu,N/A
Jr Brand Manager (International),Jakarta Pusat,PT Kapal Api Global,2 hari yang lalu,N/A
ERP Consultant (Fresh Graduate),Jakarta Pusat,PT Hashmicro Solusi Indonesia,1 hari yang lalu,N/A
OTN Engineer,Jakarta Barat,PT Fiberhome Technologies Indonesia,1 hari yang lalu,N/A
Retail Area Supervisor,Jakarta Barat,PT. Prabu Indonesia Melangkah,1 hari yang lalu,N/A
Business Development Executive,Jakarta Selatan,PT Justika Siar Publika,1 hari yang lalu,N/A
Outbound Document Staff,Jakarta Selatan,PT. Dynamic Container Lines (Wan Hai Lines (Singapore) PTE LTD),6 hari yang lalu,Rp 5.300.000 – Rp 6.500.000 per month
Purchasing,Jakarta Utara,PT Masa Lestari Husada,1 hari yang lalu,N/A
Supply Chain Project Manager,Jakarta Selatan,PT DyKa Konsultama,2 hari yang lalu,Rp 15.000.000 – Rp 20.000.000 per month
Ads Account Executive,Jakarta Selatan,PT Lifty Media Indonesia,8 hari yang lalu,Rp 7.000.000 – Rp 9.000.000 per month
"Senior Consultant (Business Advisory Consultant, based in Bali)",Jakarta Selatan,The Practice Consulting,5 jam yang lalu,N/A
T&T Consultant - AMS - SAP OpenText - ID,Jakarta Raya,Deloitte Consulting SEA,1 hari yang lalu,N/A
Account Executive (Background Media / TV),Jakarta Selatan,PT Alternative Media Group,8 hari yang lalu,N/A
Mobile Developer (Java),Jakarta Selatan,PT Indonesia Satu Tujuh,3 jam yang lalu,Rp 6.000.000 – Rp 9.000.000 per month
Travel & Formalities Officer,Jakarta Pusat,PT BAGAS BUMI PERSADA,1 hari yang lalu,N/A
Operations Manager (Retail Experienced),Jakarta Raya,PT Navya Retail Indonesia,2 hari yang lalu,N/A
Customs Clearence Staff,Jakarta Raya,N/A,1 hari yang lalu,N/A
DS. Support Team Leader (Sales Support & Organization Management),Jakarta Selatan,PT Coway International Indonesia,1 hari yang lalu,N/A
General Affair Officer,Jakarta Barat,PT Daidan Aditama Yaksa,8 hari yang lalu,N/A
Consulting - Industry Banking,Jakarta Raya,PT Accenture,1 hari yang lalu,N/A
Associate Marketing Communications Manager,Jakarta Selatan,PT Garmin Indonesia Distribution,6 hari yang lalu,Rp 14.000.000 – Rp 20.000.000 per month
Admission Officer,Jakarta Raya,Yayasan Bina Nusantara,8 hari yang lalu,N/A
Secretary,Jakarta Pusat,"PT SMART,Tbk",7 hari yang lalu,N/A
Corporate Marketing Freight Forwarding,Jakarta Pusat,PT . GPI Logistics,1 hari yang lalu,N/A
Area Manager,Jakarta Pusat,PT Mitsubishi Tanabe Pharma Indonesia,1 hari yang lalu,N/A
Business Solutions Architect,Jakarta Raya,PT Kamoro Maxima Integra,9 hari yang lalu,N/A
Mandarin Translator,Jakarta Selatan,PT Taman Wisata Jogja,6 hari yang lalu,N/A
Purchasing Staff (Mandarin Speaking),Jakarta Timur,PT PALOMA HARDWARE,7 hari yang lalu,N/A
Growth Partner / Progress Advisor,Jakarta Utara,PT CERIA BELAJAR EDUKASI INDONESIA,20 hari yang lalu,Rp 6.000.000 – Rp 8.000.000 per month
SALES MARKETING INTERNATIONAL AIR FREIGHT,Jakarta Raya,PT Suryagita Nusaraya,13 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month
Sales Account Manager,Jakarta Raya,PT. OCS Global Services (OCS Indonesia),5 hari yang lalu,N/A
Sea Freight Commercial Pricing Executive,Jakarta Utara,PT Air Two Sea Logistics Indonesia,19 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month
MARKETING LEAD — LUXURY BRANDED RESIDENCES,Jakarta Raya,JSI Group,6 hari yang lalu,N/A
Digital Experience Channel Management Jr. Specialist,Jakarta Selatan,PT Bussan Auto Finance (BAF),18 hari yang lalu,N/A
Salesforce Developer,Jakarta Selatan,PT Hyundai Autoever Indonesia,16 hari yang lalu,N/A
Sales Executive (Freight Forwarding),Jakarta Selatan,PT. DAWU SUPPLY CHAIN MANAGEMENT INDONESIA,15 hari yang lalu,N/A
Sales Heavy Equipment / Truck,Jakarta Utara,PT SINOPACIFIC PERALATAN INDONUSA,20 hari yang lalu,N/A
KOL Acquisition Intern,Jakarta Selatan,PT Finture Tech Indonesia,22 hari yang lalu,N/A
Senior Cyber Security,Jakarta Barat,PT Nusantara Compnet Integrator,28 hari yang lalu,N/A
HVAC Sales/Application Engineer,Jakarta Raya,PT. Newark Engineering Indonesia,20 hari yang lalu,Rp 8.000.000 – Rp 12.000.000 per month
Merchandiser (Mandarin Speaker),Jakarta Barat,PT MISSSHINE TRENDS INDONESIA,27 hari yang lalu,Rp 9.500.000 – Rp 14.000.000 per month
Marketing Executive (Indonesia),Jakarta Raya,Duopharma Biotech Bhd Group of Companies.,15 hari yang lalu,"Rp 6,000,000 – Rp 9,000,000 per month"
Technical Service Supervisor (Food Application),Jakarta Raya,"Ingredion (Thailand) Co., Ltd.",15 hari yang lalu,N/A
Customer Experience - Japanese Speaker,Jakarta Pusat,PT Mitracomm Ekasarana,27 hari yang lalu,Rp 5.700.000 – Rp 6.500.000 per month
Software Account Manager (Paques),Jakarta Selatan,PT. Lintas Teknologi Indonesia,26 hari yang lalu,N/A
Marketing Officer (Jabodetabek),Jakarta Raya,PT Dipo Star Finance,20 hari yang lalu,Rp 5.500.000 – Rp 7.000.000 per month
C# Developer,Jakarta Selatan,PT Petrolink Services Indonesia,14 hari yang lalu,N/A
Training Facilitator,Jakarta Raya,PT. OCS Global Services (OCS Indonesia),28 hari yang lalu,N/A
Project Sales Manager,Jakarta Barat,N/A,21 hari yang lalu,N/A
Marketing,Jakarta Utara,PT Bali Artha Seduh,25 hari yang lalu,Rp 6.000.000 – Rp 8.500.000 per month
Life Planner/ Relationship Manager,Jakarta Raya,AXA Mandiri Life Planner,30+ hari yang lalu,N/A
Project Estimator,Jakarta Barat,XY Illumination PT Cahaya Lux Asia Bali,15 hari yang lalu,Rp 7.000.000 – Rp 9.000.000 per month
EXPORT STAFF,Jakarta Selatan,PT CENTURY DISTRIBUTION SYSTEMS INDONESIA,12 hari yang lalu,N/A
Accounting and Tax Staff,Jakarta Pusat,PT. Kimeko Jasa Handal,19 hari yang lalu,N/A
Salesforce Developer,Jakarta Selatan,PT Hyundai Autoever Indonesia,16 hari yang lalu,N/A
Training Facilitator,Jakarta Raya,PT. OCS Global Services (OCS Indonesia),28 hari yang lalu,N/A
Purchasing Staff (Mandarin Speaking),Jakarta Timur,PT PALOMA HARDWARE,7 hari yang lalu,N/A
Project Manager,Jakarta Barat,PT Draco Internasional,1 hari yang lalu,N/A
Software Account Manager (Paques),Jakarta Selatan,PT. Lintas Teknologi Indonesia,26 hari yang lalu,N/A
Sales Support (Japanese Speaker),Jakarta Pusat,PT JAC Consulting Indonesia,29 hari yang lalu,N/A
C# Developer,Jakarta Selatan,PT Petrolink Services Indonesia,14 hari yang lalu,N/A
Marketing Officer (Mandarin Speaker),Jakarta Pusat,PT Asuransi Raksa Pratikara,15 hari yang lalu,N/A
Sales Corporate,Jakarta Pusat,PT Asuransi Wahana Tata,13 hari yang lalu,N/A
Senior Account Manager,Jakarta Selatan,PT Jobstreet Indonesia,3 hari yang lalu,N/A
Growth Partner / Progress Advisor,Jakarta Utara,PT CERIA BELAJAR EDUKASI INDONESIA,20 hari yang lalu,Rp 6.000.000 – Rp 8.000.000 per month
Sea Freight Commercial Pricing Executive,Jakarta Utara,PT Air Two Sea Logistics Indonesia,19 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month
Customer Service and Operation Specialist (Airfreight),Jakarta Selatan,Easy Speed International Logistics Limited,8 hari yang lalu,"Rp 8,000,000 – Rp 12,000,000 per month"
Commercial Technology Specialist,Jakarta Raya,Web Travel Group (WebBeds) - Indonesia,5 hari yang lalu,Rp 9.000.000 – Rp 10.500.000 per month
Sales Marketing Japanese - Property Industry,Jakarta Pusat,PT Trust Recruit Indonesia,30+ hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month
Sales Executive - Car Accessories,Jakarta Pusat,PT Trust Recruit Indonesia,26 hari yang lalu,Rp 3.500.000 – Rp 5.000.000 per month
IT Enterprise Planning Model Builder (Anaplan),Jakarta Pusat,N/A,19 hari yang lalu,N/A
Data Analyst,Jakarta Raya,PT Dipo Star Finance,25 hari yang lalu,Rp 5.500.000 – Rp 8.000.000 per month
IT Staff,Jakarta Raya,PT. OSA Industries Indonesia,19 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month
Technical Service,Jakarta Timur,PT Suzuki Indomobil Motor,7 hari yang lalu,N/A
Project Sales Manager,Jakarta Barat,N/A,21 hari yang lalu,N/A
Merchandiser (Mandarin Speaker),Jakarta Barat,PT MISSSHINE TRENDS INDONESIA,27 hari yang lalu,Rp 9.500.000 – Rp 14.000.000 per month
Senior Secretary President Director,Jakarta Raya,N/A,22 hari yang lalu,N/A
Sales Heavy Equipment / Truck,Jakarta Utara,PT SINOPACIFIC PERALATAN INDONUSA,20 hari yang lalu,N/A
"Japanese-speaking IT Consultant (SAP) – No Experience OK, Remote Work Available",Jakarta Raya,"Iter Consulting Co., Ltd",22 hari yang lalu,Rp 20.000.000 – Rp 30.000.000 per month
Senior Cyber Security,Jakarta Barat,PT Nusantara Compnet Integrator,28 hari yang lalu,N/A
Marketing,Jakarta Utara,PT Bali Artha Seduh,25 hari yang lalu,Rp 6.000.000 – Rp 8.500.000 per month
Partner Sales Manager (CAD/BIM solutions),Jakarta Raya,GRAPHISOFT Asia Limited,11 hari yang lalu,N/A
Sales Trainer,Jakarta Raya,PT Foom Lab Global,12 hari yang lalu,N/A
EXPORT STAFF,Jakarta Selatan,PT CENTURY DISTRIBUTION SYSTEMS INDONESIA,12 hari yang lalu,N/A
Mandarin Translator (Jakarta),Jakarta Barat,PT Teknologi Internasional Nusantara,8 hari yang lalu,N/A
Project Estimator,Jakarta Barat,XY Illumination PT Cahaya Lux Asia Bali,15 hari yang lalu,Rp 7.000.000 – Rp 9.000.000 per month
Account Executive,Jakarta Utara,PT PANCA UTAMA ASIA,21 hari yang lalu,N/A
Business Solutions Architect,Jakarta Raya,PT Kamoro Maxima Integra,9 hari yang lalu,N/A
Salesforce Developer,Jakarta Selatan,PT Hyundai Autoever Indonesia,16 hari yang lalu,N/A
C# Developer,Jakarta Selatan,PT Petrolink Services Indonesia,14 hari yang lalu,N/A
Branch Manager (Development Program),Jakarta Utara,PT Wook Global Technology,19 hari yang lalu,N/A
Software Account Manager (Paques),Jakarta Selatan,PT. Lintas Teknologi Indonesia,26 hari yang lalu,N/A
Marketing Officer (Jabodetabek),Jakarta Raya,PT Dipo Star Finance,20 hari yang lalu,Rp 5.500.000 – Rp 7.000.000 per month
Technical Service,Jakarta Timur,PT Suzuki Indomobil Motor,7 hari yang lalu,N/A
Commercial Technology Specialist,Jakarta Raya,Web Travel Group (WebBeds) - Indonesia,5 hari yang lalu,Rp 9.000.000 – Rp 10.500.000 per month
Sales Engineer,Jakarta Utara,PT Seagull Cooling Tower,21 hari yang lalu,Rp 7.000.000 – Rp 10.000.000 per month
RECEPTIONIST,Jakarta Utara,PT Uniair Indotama Cargo,13 hari yang lalu,N/A
Data Analyst,Jakarta Raya,PT Dipo Star Finance,25 hari yang lalu,Rp 5.500.000 – Rp 8.000.000 per month
Quality Control/Assurance Supervisor Collection (Finance Industry),Tangerang,PT Progo Puncak Group,8 hari yang lalu,Rp 15.000.000 – Rp 20.000.000 per month
Business Development,Tangerang,Odoo,20 hari yang lalu,N/A
Accounting & Tax,Jakarta Barat,N/A,22 hari yang lalu,N/A
Livestream Operator,Jakarta Utara,PT Green Fashion Group,23 jam yang lalu,N/A
EXPORT STAFF,Jakarta Selatan,PT CENTURY DISTRIBUTION SYSTEMS INDONESIA,12 hari yang lalu,N/A
Senior Secretary President Director,Jakarta Raya,N/A,22 hari yang lalu,N/A
"Japanese-speaking IT Consultant (SAP) – No Experience OK, Remote Work Available",Jakarta Raya,"Iter Consulting Co., Ltd",22 hari yang lalu,Rp 20.000.000 – Rp 30.000.000 per month
AGENT CLAIM - JAKARTA BARAT,Kalideres,PT Mitracomm Ekasarana,30+ hari yang lalu,N/A
Ads E-commerce Spesialist,Jakarta Selatan,PT Eblo Teknologi Indonesia,5 hari yang lalu,Rp 5.000.000 – Rp 5.800.000 per month
Crewing Recruitment Manager,Jakarta Pusat,SOECHI GROUP,13 hari yang lalu,N/A
Leasing Staff Mall,Jakarta Barat,PT Supra Maju Bersama,27 hari yang lalu,N/A
Centre Manager,Jakarta Barat,I CAN READ,27 hari yang lalu,N/A
Education Counsellor,Penjaringan,PT IDP Consulting Indonesia,11 hari yang lalu,N/A
Partner Sales Manager (CAD/BIM solutions),Jakarta Raya,GRAPHISOFT Asia Limited,11 hari yang lalu,N/A
Sales Trainer,Jakarta Raya,PT Foom Lab Global,12 hari yang lalu,N/A
SALES & MARKETING FREIGH FORWARDING,Jakarta Selatan,PT Eusu Logistics Indonesia,6 hari yang lalu,Rp 10.000.000 – Rp 15.000.000 per month
Cost Control,Kalideres,PT Badan Anugerah Mekanika Sukses Abadi,8 hari yang lalu,Rp 4.500.000 – Rp 5.500.000 per month
Administrative Executive (MANDARIN SPEAKER),Jakarta Utara,PT Dexin Steel Indonesia,7 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month
Corporate Marketing (Mandarin Speaker),Jakarta Pusat,PT . GPI Logistics,23 jam yang lalu,N/A
Senior QA Automation Tester,Jakarta Utara,TUNTUN SEKURITAS INDONESIA,2 hari yang lalu,N/A
Cloud & Network Infrastructure Engineering,Jakarta Raya,PT Accenture,2 hari yang lalu,N/A
Order Fulfilment Management Role,Cikarang Selatan,N/A,22 hari yang lalu,N/A
Sales,Penjaringan,PT Pineapple Creative Studio,29 hari yang lalu,"Rp 5,000,000 – Rp 6,000,000 per month"
Digital Marketing Specialist,Tangerang,PT: Helm Advisory Assist,12 hari yang lalu,N/A
Data Center Lead,Jakarta Raya,Jones Lang LaSalle Property Consultants Pte Ltd,29 hari yang lalu,N/A
Corporate & Litigation Lawyer,Jakarta Selatan,Soengkar & Partners Law Firm,21 hari yang lalu,N/A
Casual Leasing Staff,Jakarta Utara,ASRI (a subsidiary of Agung Sedayu Group),27 hari yang lalu,N/A
Senior Sales Engineer (Material Handling Equipment),Jakarta Selatan,PT Jebsen & Jessen Technology Indonesia,16 hari yang lalu,N/A
Digital Marketing Manager,Ciracas,PT Eka Bogainti,14 hari yang lalu,N/A
Japanese Speaker Marketing Manager,Jakarta Pusat,PT OS Selnajaya Indonesia,2 hari yang lalu,Rp 18.000.000 – Rp 23.000.000 per month
SENIOR SALES REPRESENTATIVE (COMPRESSOR ROTATING EQUIPMENT),Jakarta Selatan,PT Rieckermann Indonesia,18 hari yang lalu,N/A
Toll Manufacturing Export and Acquisition (TMEA) Associate (Contractual),Jakarta Selatan,"PT Darya Varia Laboratoria, Tbk",15 hari yang lalu,N/A
Enviroment Engineer,Cikarang Pusat,Daikin Industries Indonesia,6 hari yang lalu,N/A
Procurement Manager (Data Center),Jakarta Pusat,Princeton Digital Group (Singapore) SG1 Pte Ltd,5 hari yang lalu,N/A
Interior Project Manager,Jakarta Selatan,PT ARKADIA SINERGI INDONESIA (Arkadia Works),14 hari yang lalu,N/A
Desk Collection Staff (Fintech P2P),Jakarta Raya,PT Anugerah Digital Indonesia,20 hari yang lalu,N/A
Procurement Business Partner/Analyst,Jakarta Raya,"PT SMART,Tbk",27 hari yang lalu,N/A
Web Security Engineer,Jakarta Pusat,PT Prima Integrasi Solusindo,26 hari yang lalu,N/A
Account Executive,Jakarta Utara,PT INSERASENA (POLYGON GROUP),29 hari yang lalu,N/A
Security & Parking Staff – Menara Jakarta,Kemayoran,ASRI (a subsidiary of Agung Sedayu Group),15 hari yang lalu,N/A
Account Executive Jakarta,Jakarta Pusat,PT Galva Galindra Multi Cipta,19 hari yang lalu,Rp 6.400.000 – Rp 9.000.000 per month
Exim Staff,Jakarta Selatan,Fuji Recruitment (PT. Fuji Bijak Prestasi),20 hari yang lalu,Rp 5.000.000 – Rp 6.500.000 per month
Sales Project Manager (B2C),Jakarta Timur,PT Serasi Autoraya (Member of Astra),9 hari yang lalu,N/A
(TSK) Indonesian Workers Support Staff,Jakarta Raya,"OZORA PUBLISHING CO., LTD",22 hari yang lalu,Rp 5.700.000 – Rp 7.000.000 per month
"Telemarketer (From Rp5,5 juta to Rp9 juta per month)",Jakarta Raya,Mulah Technologies,12 hari yang lalu,Rp 5.500.000 – Rp 8.000.000 per month
BIM Modeller,Jakarta Barat,PT Axindo Humaperdana,29 hari yang lalu,Rp 6.000.000 – Rp 7.000.000 per month
Product Manager (Mandarin Speaker),Jakarta Barat,PT Kuaikuai Tech Indonesia,7 hari yang lalu,N/A
Sales Consultant B2B,Cikarang,PT Cahaya Jakarta,11 hari yang lalu,N/A
FINANCE AND ADMIN MANAGER,Jakarta Utara,PT Agro Tradisi,8 hari yang lalu,N/A
Sales B2B Coordinator - Fragrance Manufacturer,Jakarta Pusat,PT Trust Recruit Indonesia,21 hari yang lalu,N/A
"Finance, Accounting, Tax Supervisor (Leasing & Multifinance)",Jakarta Raya,PT JAC Consulting Indonesia,19 hari yang lalu,Rp 9.000.000 – Rp 11.000.000 per month
Senior Product Finance Analyst,Jakarta Raya,PT Trinusa Travelindo,7 hari yang lalu,N/A
"FP&A Senior Analyst (Food, Ads and Merchants)",Jakarta Raya,PT GOTO GOJEK TOKOPEDIA TBK,30+ hari yang lalu,N/A
Marketing Assistant Manager - Financial Lease (B-121966),Jakarta Selatan,RGF HR Agent Indonesia,6 hari yang lalu,Rp 13.000.000 – Rp 15.000.000 per month
Senior Transport Modeller - Transport Planning,Jakarta Raya,PT Arup Indonesia,27 hari yang lalu,N/A
"FP&A Senior Analyst (Food, Ads and Merchants)",Jakarta Raya,PT GOTO GOJEK TOKOPEDIA TBK,30+ hari yang lalu,N/A
Region Merchant Partnership & Activation Manager - Emerging Market,Jakarta Raya,PT GOTO GOJEK TOKOPEDIA TBK,30+ hari yang lalu,N/A
FREIGHT FORWARDING MARKETING,Jakarta Barat,PT. AMASS GLOBAL NETWORK,6 hari yang lalu,N/A
Demand Strategy Manager,Jakarta Raya,PT GOTO GOJEK TOKOPEDIA TBK,30+ hari yang lalu,N/A
Sales B2B Coordinator - Fragrance Manufacturer,Jakarta Pusat,PT Trust Recruit Indonesia,21 hari yang lalu,N/A
Retail Store Lead,Jakarta Raya,PT Foom Lab Global,21 hari yang lalu,N/A
Sales & Marketing (Mandarin Speaker),Jakarta Selatan,PT JAC Consulting Indonesia,8 hari yang lalu,Rp 7.000.000 – Rp 8.000.000 per month
Merchant Performance Marketing Senior Associate - Acquisition,Jakarta Raya,PT GOTO GOJEK TOKOPEDIA TBK,30+ hari yang lalu,N/A
Sales Coach,Jakarta Raya,PT Asuransi Jiwa Manulife Indonesia (Dept PB Danamon),30+ hari yang lalu,N/A
[Talent Pool] Higher Education Counsellor,Jakarta Raya,PT IDP Consulting Indonesia,11 hari yang lalu,N/A
Product Manager (Medical Health Company),Jakarta Pusat,PT Cordlife Persada,7 hari yang lalu,N/A
